lyrics,song_name
"You say you want the truth, but you can't take it.So I give you lies.I give you lies.You say you want the best, but you destroy it.So I keep it inside.I keep it inside..I'll tell ya something.It's a double-edged sword you're givin'.And I can't see the truth in livin'.When we hide behind a wall of fear.And you don't see it.It's a twisted dream you believe in.And what's the use in pretendin'?.Let's make the smoke and mirrors disappear..So there, I said it.And I won't apologize to you anymore.'Cause I'm a grown ass man.And I won't live again.And I'm sick and tired of livin' in your shadow.So there, I said it.No, I won't apologize to you anymore.'Cause I'm a grown ass man.And I don't understand.Why I should be livin' in the shadows.So there, I said it.You wanna hear my voice, my mind, my demons.But not too much.Or you'll give up..I'll tell ya something.It's a double-edged sword you're givin'.And I can't see the truth in livin'.When we hide behind a wall of fear.And you don't see it.It's a twisted dream you believe in.And what's the use in pretendin'?.Let's make the smoke and mirrors disappear..So there, I said it.And I won't apologize to you anymore.'Cause I'm a grown ass man.And I won't live again.And I'm sick and tired of livin' in your shadow.So there, I said it.No, I won't apologize to you anymore.'Cause I'm a grown ass man.And I don't understand.Why I should be livin' in the shadows.So there, I said it",There I Said It
"You know I have a veil.All covered up, to myself.It's always there.Now they wanna know.How does it feel?.Gonna let it show.I'm happy to entertain and share with you.It's hard to say how your own thoughts can hurt you..I'm gonna let them stare.They feel like me out there..So welcome to the show.Bring on all the lights.Let it shine on you.We're together here tonight.Welcome to the show.Welcome to my life.Welcome to the show.Welcome to my life.Welcome to my life..I know I have my flaws.I pay the price, but I'm grateful.You're letting me be myself.The good and the bad.I'm gonna let them stare.They feel like me out there..So welcome to the show.Bring on all the lights.Let it shine on you.We're together here tonight.Welcome to the show.Welcome to my life.Welcome to the show.Welcome to my life.Welcome to my life..Welcome to my life.Welcome to my life.My life.My life..I'm gonna let them stare.I'm gonna let you in (I'm gonna let you).I'm gonna let them (I'm gonna let them).They feel like me out there.So welcome to the show.Bring on all the lights.Let it shine on you.We're together here tonight.Welcome to the show.Bring on all the lights.Let it shine on you.We're together here tonight.Welcome to the show.Welcome to my life.Welcome to the show.Welcome to my life.Welcome to my life..Welcome to my life.My life.My life.My life.Welcome to my life",Welcome to the Show
"Sorry it's late, I know I missed your call again.I'm tryna change, got stuck in my ways again.I been feeling faded, disconnected lately.Missin' what money can't buy.All I wanna do is be brand new.I swear I'd give it all up just for you.And I would sink my house down underwater, ooh-ooh.I would trade all my gold for dirt.Let me tell you right now.I would walk through fire just to hold ya.Whatever gets me closer to you.Whatever gets me closer to you..Ah, ah-ah-ah.(Closer to you).Ah, ah-ah-ah..Sick of the game.Never holdin' on to what I start.Hell of a shame.I almost got the life I want.Got no one to take to Paris, France.To understand the man I am.I feel like I'm runnin' out of time.Well, tell me why our stars just don't align.I would sink my house down underwater, ooh-ooh.I would trade all my gold for dirt.Let me tell you right now.I would walk through fire just to hold ya.Whatever gets me closer to you..Whatever gets me closer to your touch, your love.I want it all too much, I'm cryin'.I'd give my shirt off my back just to get you back.Baby, baby, now I'd lie in the eye of a hurricane just to have you comin' back.To when you still believed in me.Will you believe me?..I would sink my house down underwater.And I would trade all my gold for dirt.Let me tell you right now.I would walk through fire just to hold ya.Whatever gets me closer to you.Whatever gets me closer to you..Closer to you.Oh, a little closer to you.Closer to you",Closer to You
"People talkin' from every direction.Every  hello and every goodbye feels like a cry for attention.People,  but there's no human connection.If you want something real tonight.Baby, you know where to get it..That  overglow.Where  the moment goes.Leave me all alone.But  you would never know.It's got a hold on you.In the neon blue.Up on your phone.In  the overglow..Day and night.If you're lost in delusion.And from every word in your text.Only your fingers are bruising.Day and night, I tried lovin' you through it.And it's breaking my heart that I can't.Feel like I'm losing you to it.That overglow.Where the moment goes.Leave me all alone.But you would never know.It's got a hold on you.In the neon blue.Up on your phone.In the overglow..In the overglow.In the overglow..There's no human connection (That overglow).But there's no human connec-..That overglow.Where the moment goes.Leave me all alone.But you would never know.It's got a hold on you.In the neon blue.Up on your phone.In the overglow.That overglow.Where the moment goes.Leave me all alone.But you would never know.It's got a hold on you.In the neon blue.Up on your phone.In the overglow.That overglow (In the overglow)",Overglow
"Oh, nowhere left to go.Are we getting closer? Closer?.No, all we know is ""No"".Nights are getting colder, colder..Hey, tears all fall the same.We all feel the rain.We can't change..Everywhere we go, we're looking for the sun.Nowhere to grow old, we're always on the run.They say we'll rot in Hell, but I don't think we will.They've branded us enough, ""Outlaws of Love""..Scars make us who we are.Hearts and homes are broken, broken.Far, we could go so far.With our minds wide open, open..Hey, tears all fall the same.We all feel the rain.We can't change.Everywhere we go, we're looking for the sun.Nowhere to grow old, we're always on the run.They say we'll rot in Hell, but I don't think we will.They've branded us enough, ""Outlaws of Love""..Yeah, yeah, mmm.Ohh..Everywhere we go, we're looking for the sun.Nowhere to grow old, we're always on the run.They say we'll rot in Hell, but I don't think we will.They've branded us enough, ""Outlaws of Love""..Outlaws of love.Outlaws of love.Outlaws of love.Outlaws of love","Outlaws of Love, No"
"My life flashed before my eyes.Razor blade lips and daggers up in your eyes.Baby, your love is a crime.Danger by day, but you're evil in the night.My life flashed before my eyes.Bombs over Broadway, f-fire in the sky.Baby, your love is a crime.Danger by day, but you're evil in the night.Danger by day, but you're evil in the night.Bombs over Broadway, f-fire in the sky..Hey, you lit up like a full moon.Yeah, I heard you were the baddest on the street.Hey, you work it like there's no rules.Little criminal, I'm callin' the police..Keep me on a leash tonight.There's nowhere for me to hide.See you on the other side..My life flashed before my eyes.Razor blade lips and daggers up in your eyes.Baby, your love is a crime.Danger by day, but you're evil in the night.My life flashed before my eyes.Bombs over Broadway, f-fire in the sky.Baby, your love is a crime.Danger by day, but you're evil in the night.Danger by day, but you're evil in the night.Bombs over Broadway, f-fire in the sky.Hey, I can tell your heart's cold.Like a fallen angel walkin' in your sleep.Hey, I guess you're just a lost soul.But when the moon comes out you turn into a beast..Keep me on a leash tonight.There's nowhere for me to hide.See you on the other side..My life flashed before my eyes (Before my eyes).Razor blade lips and daggers up in your eyes.Baby, your love is a crime.Danger by day, but you're evil in the night.My life flashed before my eyes.Bombs over Broadway, f-fire in the sky.Baby, your love is a crime.Danger by day, but you're evil in the night.Danger by day, but you're evil in the night.Bombs over Broadway, f-fire in the sky.Bombs over Broadway, f-fire in the sky",Evil in the Night
"Cold as ice.And more bitter than a December.Winter night.That's how I treated you.And I know that I.I sometimes tend to lose my temper.And I cross the line.Yeah, that's the truth..I know it gets hard sometimes.But I could never.Leave your side.No matter what I say..'Cause if I wanted to go, I would've gone by now.But I really need you near me to.Keep my mind off the edge.If I wanted to leave, I would've left by now.But you're the only one that knows me.Better than I know myself..All along.I tried to pretend it didn't matter.If I was alone.But deep down I know.If you were gone.For even a day, I wouldn't know which way to turn.'Cause I'm lost without you.I know it gets hard sometimes.But I could never.Leave your side.No matter what I say..'Cause if I wanted to go, I would've gone by now.But I really need you near me to.Keep my mind off the edge.If I wanted to leave, I would've left by now.But you're the only one that knows me.Better than I know myself..I get kind of dark.Let it go too far.I can be obnoxious at times.But try and see my heart.'Cause I need you now.So don't let me down.You're the only thing in this world.I would die without..'Cause if I wanted to go, I would've gone by now.But I really need you near me to.Keep my mind off the edge.If I wanted to leave, I would've left by now.But you're the only one that knows me.Better than I know myself.'Cause if I wanted to go, I would've gone by now.But I really need you near me to.Keep my mind off the edge.If I wanted to leave, I would've left by now.But you're the only one that knows me.Better than I know myself",Better Than I Know Myself
"Papa told me to stay strong.To tighten up my bootstraps.Before I get walked on.Don't you give up (Ooh, yeah)..Now I’m rockin' Versace with my dog.In my shades, I'ma slay one day, y’all.I'ma fuck up a check and spend it all.I'ma have a tequila kind of day (Mhm)..'Cause the stranger you are.They wanna keep you locked in the dark.Said the stranger you are.They gonna try to tear you apart..But I'm 6'3"", baby, with boots on.If you think you can beat me, I'm nothin' to walk on.It’s all in the strut (Yeah, yeah)..Now I’m rockin' Versace with my dog.In my shades, I’ma slay one day, y'all.I'ma fuck up a check and spend it all.I'ma have a tequila kind of day (Hey, woah).’Cause the stranger you are (Ooh, yeah).They wanna keep you locked in the dark (Ooh, oh).Said the stranger you are.They gonna try to tear you apart..'Cause the stranger you are.They wanna keep you locked in the dark.And the stranger you are.They gonna try to tear you apart.The stranger you are.They wanna keep you locked in the dark.And the stranger you are.They gonna try to tear you apart..Woah, yeah.Ayy, ayy.Woah, ooh, ooh.Yeah, yeah.Woah, ooh, ooh.Oh, oh",Stranger You Are
"I got the need for speedin' on a hot night.Pushing 150 just to get a rise.There's no comfort in comfort, I need the edge.But the edge keeps drifting, it's all in my head..Ooh, remember back in Hollywood.The medication flowing through my veins was you.Yeah, the summer back in Hollywood.The medication, medication..Just let me feel the rush like the first night.Wanna breathe it out cause I'm going out my mind.Gotta feel the touch like the first time.'Cause I'm chasing the original high.Chasing the original high.Chasing the original high.Chasing the original high.Chasing the original high..I'm tryna buy a fix, but there ain't no price.I try to feed the hunger that keeps me up at night.We were on a trip tryna replicate.But the highs I hit just ain't doin' it for me.Ooh, remember back in Hollywood.The medication flowing through my veins was you.Yeah, the summer back in Hollywood.The medication, medication..Just let me feel the rush like the first night.Wanna breathe it out 'cause I'm going out my mind.Gotta feel the touch like the first time.'Cause I'm chasing the original high.Chasing the original high.Chasing the original high.Chasing the original high..Oh, summertime, it stays on my mind.Cause you and me are alive inside.Summertime is stuck on my mind, oh.Oh, summertime, it stays on my mind.'Cause you and me never die inside.Summertime is stuck on my mind.Chasing the original high.High.High.High.High.So high.Just let me feel the rush like the first night.Wanna breathe it out 'cause I'm going out my mind.Gotta feel the touch like the first time.'Cause I'm chasing the original high.Chasing the original high (I'm chasing).Chasing the original high.Chasing the original high.Chasing the original high",The Original High
"I wish that this night would never be over.There's plenty of time to sleep when we die.So let's just stay awake until we grow older.If I had my way, we'd never close our eyes, our eyes, never!..I don't wanna let a minute get away.'Cause we got no time to lose.None of us are promised to see tomorrow.And what we do is ours to choose..Forget about the sunrise, fight the sleep in your eyes.I don't wanna miss a second with you.Let's stay this way forever.It's only getting better if we want it to..You know that I wish that this night would never be over.There's plenty of time to sleep when we die.So let's just stay awake until we grow older.If I had my way, we'd never close our eyes, our eyes, never..It's so hard to think this could fade away.But what goes up must come down.Why can't we just live life with no consequence.And always live in the now?.Forget about the sunrise, fight the sleep in your eyes.I don't wanna miss a second with you.Let's stay this way forever.It's only getting better if we want it to..You know that I wish that this night would never be over.There's plenty of time to sleep when we die.So let's just stay awake until we grow older.If I had my way, we'd never close our eyes, our eyes, never..Ooh, yeah.Ooh, yeah (Yeah)..You know that I wish that this night would never be over.There's plenty of time to sleep when we die.So let's just stay awake until we grow older.If I had my way, we'd never close our eyes, our eyes, never",Never Close Our Eyes
"I guess we're in deep.I guess we got higher.You'll never believe.What I heard on the wire.I know it ain't right.It's getting so tired.If we put up a fight.We'll be fueling the fire..Oh, 'cause now all the things that we said and done.Twisted around, turned 'em wrong.Feels like all the love is gone.We lost it.We get stuck up inside our heads.Talk shit 'til we're walking dead.Talk shit 'til we're walking dead..Why do we care about the rumors, baby?.Yeah, why do we care about the rumors, baby?.Oh, 'cause I don't need to lie to you.You'll never break my heart.Yeah, you'll find the truth here in my arms.So can you tell me why do we care about the rumors, baby?.The envy runs deep.The jealousy down low.It's easy to see.But it's harder to let go.We ain't gonna hide (We ain't gonna hide).We know what they don't know.A hell of a ride.I swear I'll hold you close..'Cause now all the things that we said and done.Twisted around, turned 'em wrong.Feels like all the love is gone.We lost it.We get stuck up inside our heads.Talk shit 'til we're walking dead.Talk shit 'til we're walking dead..Why do we care about the rumors, baby?.Yeah, why do we care about the rumors, baby?.Oh, 'cause I don't need to lie to you.You'll never break my heart.Yeah, you'll find the truth here in my arms.So can you tell me why do we care about the rumors, baby?.Whoa....Try to keep an open heart.Try to just let down your guard.Don't, don't care about the rumors, babe.Get out of the gossip game.Get out of the haterade..Don't, don't care about, don't care about.Don't care about the rumors, mmm.(Don't care about, don't care about).Rumors.Rumors.Don't care about the rumors..Why do we care about the rumors, baby?.Yeah, why do we care about the rumors, baby?.Oh, 'cause I don't need to lie to you.You'll never break my heart.Yeah, you'll find the truth here in my arms.So can you tell me why do we care about the rumors, baby?",Rumors
"Well, I was walkin' for some time.When I came across this sign.Saying, ""Who are you and where are you from?"".We don't like when visitors come..""No Trespassing"", that's what it said.At least that's what I could read.""No Trespassers?"" Yeah, my ass!.Wait till ya get a load of me..One day I was trippin' and that's when I could see.That the ether that I tapped into could be reality.It was great, that's when I climbed that optimistic vine.Once I hit that mountain peak, I began to lose my mind..I don't need no sympathy.I won't cry and whine.Life's my light and liberty.And I shine when I wanna shine..Make their faces crack.There's no turning back.Let's go!.Well, I was walkin' for some time.When I came across this sign.Saying, ""Who are you and where are you from?"".We don't like when visitors come..""No Trespassing"", that's what it said.At least that's what I could read.""No Trespassers?"" Yeah, my ass!.Wait till ya get a load of me.Hey, ooh oh..I ain't got BS in my bag.That's the one thing you can believe.My heart is gold, my body is glass.Come on baby, can't you see?..I don't need no GPS.To show me where to go.But I can turn into the north pole.And show you what is cold..I don't need no sympathy.I won't cry and whine.Life's my light and liberty.And I shine when I wanna shine.Make their faces crack (Crack).There's no turning back.Let's go!..Well, I was walkin' for some time.When I came across this sign.Saying, ""Who are you and where are you from?"".We don't like when visitors come..""No Trespassing"", that's what it said.At least that's what I could read.""No Trespassers?"" Yeah, my ass!.Wait till ya get a load of me..Wait till ya get a load of me.I said wait till ya get a load of me..Ah, ah, ah, ah.Ah, ah, ah, ah.Ah, ah, ah, ah.I ain't stayin' at home.I got places to roll.I ain't stayin' at home.No, no, no.Hey hey hey.Hey yeah yeah yeah!..I don't need no sympathy.I won't cry and whine.Life's my light and liberty.And I shine when I wanna shine.Let's go!..Well, I was walkin' for some time.When I came across this sign.Saying, ""Who are you and where are you from?"".We don't like when visitors come..""No Trespassing"", that's what it said.At least that's what I could read.""No Trespassers?"" Yeah, my ass!.Wait till ya get a load of me",Trespassing
"Read my mind, open up.Faded, I fall into you.Get me high on your touch.Tracin' the outline of you..Don’t let go now.No slowin' down.I'm a fire and I’m burnin'..Comin' in hot, comin' in hot.No chill for me.Comin' in hot, comin' in hot.Red wine and weed.I want your touch, come put your hands on me.I want my love to feed your vanity.Comin' in hot.Comin' in..Novocaine in my mouth.Tying my tongue like you do.Say my name, say it loud.Tell me what you wanna do.Don’t let go now.No slowin’ down.I'm a fire and I’m burnin'..Comin' in hot, comin' in hot.No chill for me.Comin’ in hot, comin' in hot.Red wine and weed.I want your touch, come put your hands on me.I want my love to feed your vanity.Comin' in hot.Comin' in (I'm comin' in, I'm comin' in).Comin' in hot.Comin' in hot (I'm comin' in, I'm comin' in)..Feel the fire, let it go.Take it higher, lose control, oh.Feel the fire (Feel the fire), let it go (Let it go).Take it higher (Take it higher), lose control, oh..Comin' in",Comin In Hot
